player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Brevin Knight,ATL,25.0,177.8,77.11064,53,6.3,3.2,5.9,-8.4,0.017,0.109,0.147,0.416,0.32,2000-01
Brent Price,VAN,32.0,185.42,83.91452,6,2.2,0.7,0.8,-17.0,0.034,0.091,0.265,0.462,0.263,2000-01
Brent Barry,SEA,29.0,198.12,97.52228,67,8.8,3.1,3.4,2.1,0.023,0.113,0.135,0.66,0.19,2000-01
Brad Miller,CHI,25.0,213.36,118.38751200000002,57,8.9,7.4,1.9,-9.1,0.114,0.2289999999999999,0.181,0.52,0.13,2000-01
Bonzi Wells,POR,24.0,195.58,95.25432,75,12.6,4.9,2.8,4.4,0.077,0.143,0.233,0.5710000000000001,0.179,2000-01
Bobby Jackson,SAC,28.0,185.42,83.91452,79,7.2,3.1,2.0,7.2,0.05,0.111,0.182,0.501,0.166,2000-01
Brian Grant,MIA,29.0,205.74,113.398,82,15.2,8.8,1.2,3.7,0.093,0.214,0.236,0.536,0.072,2000-01
Bob Sura,GSW,28.0,195.58,90.7184,53,11.1,4.3,4.6,-11.4,0.032,0.121,0.193,0.487,0.2319999999999999,2000-01
Calbert Cheaney,DEN,29.0,200.66,98.429464,9,2.3,2.2,1.0,10.6,0.034,0.109,0.104,0.34,0.076,2000-01
Carlos Rogers,HOU,30.0,210.82,105.233344,39,4.6,3.6,0.2,2.8,0.106,0.184,0.128,0.674,0.027,2000-01
Chris Mullin,GSW,37.0,198.12,90.7184,20,5.8,2.1,1.0,-9.2,0.025,0.095,0.158,0.486,0.088,2000-01
Chris Mills,GSW,31.0,200.66,97.975872,15,12.0,6.2,1.2,-4.3,0.049,0.147,0.195,0.435,0.061,2000-01
Chris Mihm,CLE,21.0,215.9,120.20188,59,7.6,4.7,0.3,-3.8,0.106,0.1669999999999999,0.203,0.5,0.024,2000-01
Chris Herren,BOS,25.0,187.96,86.18248,25,3.3,0.8,2.2,2.2,0.011,0.049,0.133,0.41,0.204,2000-01
Chris Gatling,CLE,33.0,208.28,104.32616,74,11.4,5.3,0.8,-6.6,0.068,0.215,0.258,0.505,0.067,2000-01
Chris Garner,GSW,26.0,177.8,70.760352,8,2.4,1.5,2.3,-8.4,0.013,0.079,0.139,0.24,0.178,2000-01
Chris Dudley,PHX,36.0,210.82,117.93392,53,1.4,3.5,0.3,1.5,0.114,0.2239999999999999,0.084,0.405,0.04,2000-01
Calvin Booth,DAL,25.0,210.82,109.315672,55,5.3,4.5,0.8,-7.0,0.091,0.196,0.163,0.512,0.074,2000-01
Chris Crawford,ATL,26.0,205.74,106.59412,47,6.8,2.3,0.8,-8.5,0.034,0.106,0.181,0.519,0.07,2000-01
